ward,date,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_12,cases_roll_3,cases_roll_6,rain_lag_1,rain_3m_lag,rainy_days_lag_1,heavy_rain_days_lag_1,tmax_lag_1,tmin_lag_1,humidity_lag_1,oni_lag_1,month_sin,month_cos,slum_pct_imputed,population_density_per_km2,elevation_m,vulnerability_index,population_2019,predicted_cases,lower_80,upper_80,latest_annual_cases,calibration_scale,scenario,enso_value,climate_rain_mm_lag1,climate_temp_lag1,q50,q75,q90,slum_pct,risk_score,risk_level,priority_score,predicted_cases_per_100k
G/S,2026-01-01,644.045482801492,601.2715499378368,553.35391628678,582.321073352673,599.5569830087029,718.9901056775798,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,21.0,41858.76936999277,7.0,49.35034752315354,390890.0,583.3104236467136,505.4264414714528,703.1042488510703,7839.0,1.001996486387063,typical,0.0,2.1822886024563632,30.37638630498536,445.5,569.25,725.7,21.0,78.03030303030303,High,70.86031415351566,149.22623337683584
E,2026-01-01,456.2041291429272,500.5755682166269,452.260001225265,400.00030631624094,469.6798995282731,505.0674916784089,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,20.0,55680.01825933636,11.0,55.761109348493214,406967.0,443.1812687625521,344.7577858623829,554.8796769696845,5365.0,0.9885932517551124,typical,0.0,2.1822886024563632,30.37638630498536,306.0,443.25,675.0000000000002,20.0,75.0,High,70.1902773371233,108.89857623899532
R/N,2026-01-01,124.23750287952083,123.49020962911771,115.45680718728403,120.50103662750519,121.06150656530752,145.62877217231053,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,51.0,31330.65518222099,11.0,76.65413963198206,446374.0,122.82349993901104,90.69229332920713,161.7786437988552,1622.0,0.97518594977642,typical,0.0,2.1822886024563632,30.37638630498536,84.5,137.25,183.60000000000002,51.0,65.9090909090909,Medium,68.5953530898137,27.515827521094653
M/E,2026-01-01,418.9095574085953,363.46766852988793,404.7395461070894,413.26906747304434,395.70559068185753,434.5699420670556,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,30.0,25140.114655526762,29.0,38.831176497016315,835819.0,409.4834246649233,339.9645156797011,483.4480896473752,4504.0,1.0015566153463125,typical,0.0,2.1822886024563632,30.37638630498536,351.5,510.0,711.0000000000002,30.0,60.60606060606061,Medium,55.16233957879953,48.99187798613375
A,2026-01-01,118.72630780894617,89.90447308567096,99.07505686125853,107.42683851402577,102.56861258529189,116.4336618650493,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,34.0,16997.556497721376,0.0,51.287740727275576,191450.0,105.09145430894372,76.92034059911114,138.62662896464963,1296.0,0.9677901036276229,typical,0.0,2.1822886024563632,30.37638630498536,118.0,151.0,192.50000000000003,34.0,40.15151515151515,Low,42.935571545455254,54.892376238675226
P/N,2026-01-01,206.4021366659948,183.56924007256603,199.1535980649063,196.6166095545253,196.3749916011557,245.36303164684543,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,54.0,20751.61391657302,21.0,68.51752173761194,974114.0,183.91489901527711,145.56989347570544,237.43566231792266,2697.0,0.9649163332968834,typical,0.0,2.1822886024563632,30.37638630498536,236.5,303.75,381.70000000000005,54.0,22.727272727272727,Low,34.174834979857536,18.88022336351568
R/S,2026-01-01,31.25122381045623,26.697474055218322,29.644018014489916,36.78715488545134,29.19757196005482,39.570001958096725,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,58.0,38869.334356166,23.0,84.82276801582847,715275.0,35.47580962081842,19.690803735771272,54.666086768564426,456.0,0.806268400473146,typical,0.0,2.1822886024563632,30.37638630498536,126.5,180.5,293.5000000000001,58.0,12.878787878787879,Low,30.86478291304803,4.9597441013342305
M/W,2026-01-01,134.58844215215098,116.33196577189075,119.51623490798265,130.3427499706951,123.47888094400814,156.0291876685031,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,53.0,24370.643551681354,8.0,75.68490036817151,426222.0,135.5804318279268,116.75899892388696,163.81081685186882,1811.0,0.9883692592576139,typical,0.0,2.1822886024563632,30.37638630498536,208.5,298.5,405.30000000000007,53.0,15.909090909090908,Low,30.85304327386106,31.809815501763584
R/C,2026-01-01,207.1769916465773,202.00437293266805,199.55418512081627,217.93059370970454,202.91184990002057,220.29003382482108,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,19.0,12054.163795161348,11.0,24.758916206328827,581718.0,205.95453789097314,157.42426979768152,241.81528788712205,2428.0,0.989096474498806,typical,0.0,2.1822886024563632,30.37638630498536,237.0,319.0,357.9,19.0,32.57575757575758,Low,30.621547233400392,35.40453241793672
L,2026-01-01,456.01839144519136,430.6518861681006,451.5816642864607,437.982131039047,446.08398063325086,490.4191020237556,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,54.0,59247.16505912701,14.0,97.98623146836815,933611.0,455.94183782132114,341.9911799231118,558.8375872336917,5538.0,0.9857708936863298,typical,0.0,2.1822886024563632,30.37638630498536,886.5,1038.25,1224.8000000000002,54.0,7.575757575757576,Low,30.178376048910216,48.83638237138606
G/N,2026-01-01,222.31684905187538,203.12488513908616,235.19096149026817,185.2441734190962,220.2108985604099,258.9127057054549,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,32.0,70386.32902931391,13.0,79.41957984524025,619878.0,216.1913141550974,181.16176937199754,243.06689690746364,2854.0,0.9723801736603143,typical,0.0,2.1822886024563632,30.37638630498536,344.5,431.25,580.8000000000002,32.0,9.848484848484848,Low,27.2412585976737,34.87642958051381
N,2026-01-01,92.74750368536701,85.41192668205711,85.78549773315162,97.23035629850081,87.98164270019191,112.1958390120435,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,62.0,24965.570277936793,4.0,88.80171457911482,644521.0,91.44943983378191,73.89802264730889,107.70876169122907,1221.0,0.9632398949549266,typical,0.0,2.1822886024563632,30.37638630498536,535.5,642.75,825.9,62.0,6.0606060606060606,Low,26.74588319023325,14.18874479400701
B,2026-01-01,89.39687370314014,96.71116336976068,105.0006916585973,95.08576566606722,97.03624291049937,104.24217273020703,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,11.0,49312.29159982718,8.0,41.88241156212007,131718.0,84.94785595974966,65.07351161163783,109.29843956264797,1175.0,0.9795788760766866,typical,0.0,2.1822886024563632,30.37638630498536,119.0,150.75,171.0,11.0,20.454545454545457,Low,25.81151198143911,64.49221515643242
C,2026-01-01,24.50365466832161,25.926906633567782,28.868294028409874,24.930630257895462,26.43295177676642,29.86457040408219,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,39.0,89447.24562784938,15.0,100.0,171941.0,28.81230403866668,14.74481150611651,39.41590791026792,344.0,0.57970542451328,typical,0.0,2.1822886024563632,30.37638630498536,191.0,245.0,288.0,,0.7575757575757576,Low,25.568181818181817,16.757087628120505
S,2026-01-01,199.92539351108255,170.69394474783164,160.06432701574045,208.87198843559267,176.89455509155155,192.91279847949457,2.1822886024563632,82.78471772438908,0.45454545454545453,0.0,30.37638630498536,20.1728817302053,63.58732870534057,0.0,0.49999999999999994,0.8660254037844387,72.0,25742.327721822323,18.0,95.07507283047032,769657.0,178.9372510200921,146.01724897996232,250.95403448993673,2206.0,1.0383821745317885,typical,0.0,2.1822886024563632,30.37638630498536,344.5,434.5,517.8,72.0,0.7575757575757576,Low,24.336950025799396,23.248960383663384
