ward,year,cases,reporting_months,source
A,2008,1111.0,12.0,Praja raw monthly
B,2008,969.0,12.0,Praja raw monthly
C,2008,1009.0,12.0,Praja raw monthly
D,2008,961.0,12.0,Praja raw monthly
E,2008,4947.0,12.0,Praja raw monthly
F/N,2008,3808.0,12.0,Praja raw monthly
F/S,2008,4382.0,12.0,Praja raw monthly
G/N,2008,3451.0,12.0,Praja raw monthly
G/S,2008,7181.0,12.0,Praja raw monthly
H/E,2008,3599.0,12.0,Praja raw monthly
H/W,2008,3048.0,12.0,Praja raw monthly
K/E,2008,5068.0,12.0,Praja raw monthly
K/W,2008,3557.0,12.0,Praja raw monthly
L,2008,4748.0,12.0,Praja raw monthly
M/E,2008,1487.0,12.0,Praja raw monthly
M/W,2008,3619.0,12.0,Praja raw monthly
N,2008,3414.0,12.0,Praja raw monthly
P/N,2008,1928.0,12.0,Praja raw monthly
P/S,2008,736.0,12.0,Praja raw monthly
R/C,2008,2918.0,12.0,Praja raw monthly
R/N,2008,1003.0,12.0,Praja raw monthly
R/S,2008,3297.0,12.0,Praja raw monthly
S,2008,3007.0,12.0,Praja raw monthly
T,2008,1177.0,12.0,Praja raw monthly
A,2009,1594.0,12.0,Praja raw monthly
B,2009,1648.0,12.0,Praja raw monthly
C,2009,1264.0,12.0,Praja raw monthly
D,2009,3035.0,12.0,Praja raw monthly
E,2009,7412.0,12.0,Praja raw monthly
F/N,2009,5411.0,12.0,Praja raw monthly
F/S,2009,5488.0,12.0,Praja raw monthly
G/N,2009,3975.0,12.0,Praja raw monthly
G/S,2009,6801.0,12.0,Praja raw monthly
H/E,2009,4900.0,12.0,Praja raw monthly
H/W,2009,2948.0,12.0,Praja raw monthly
K/E,2009,7618.0,12.0,Praja raw monthly
K/W,2009,3646.0,12.0,Praja raw monthly
L,2009,10639.0,12.0,Praja raw monthly
M/E,2009,3179.0,12.0,Praja raw monthly
M/W,2009,4389.0,12.0,Praja raw monthly
N,2009,5779.0,12.0,Praja raw monthly
P/N,2009,2798.0,12.0,Praja raw monthly
P/S,2009,1298.0,12.0,Praja raw monthly
R/C,2009,2632.0,12.0,Praja raw monthly
R/N,2009,1142.0,12.0,Praja raw monthly
R/S,2009,3366.0,12.0,Praja raw monthly
S,2009,4138.0,12.0,Praja raw monthly
T,2009,1673.0,12.0,Praja raw monthly
A,2010,1332.0,12.0,Praja raw monthly
B,2010,1872.0,12.0,Praja raw monthly
C,2010,1968.0,12.0,Praja raw monthly
D,2010,4432.0,12.0,Praja raw monthly
E,2010,9106.0,12.0,Praja raw monthly
F/N,2010,5690.0,12.0,Praja raw monthly
F/S,2010,7163.0,12.0,Praja raw monthly
G/N,2010,5752.0,12.0,Praja raw monthly
G/S,2010,7185.0,12.0,Praja raw monthly
H/E,2010,6368.0,12.0,Praja raw monthly
H/W,2010,4145.0,12.0,Praja raw monthly
K/E,2010,7830.0,12.0,Praja raw monthly
K/W,2010,4102.0,12.0,Praja raw monthly
L,2010,12953.0,12.0,Praja raw monthly
M/E,2010,5525.0,12.0,Praja raw monthly
M/W,2010,4963.0,12.0,Praja raw monthly
N,2010,7817.0,12.0,Praja raw monthly
P/N,2010,2837.0,12.0,Praja raw monthly
P/S,2010,1169.0,12.0,Praja raw monthly
R/C,2010,1917.0,12.0,Praja raw monthly
R/N,2010,919.0,12.0,Praja raw monthly
R/S,2010,3342.0,12.0,Praja raw monthly
S,2010,5071.0,12.0,Praja raw monthly
T,2010,1929.0,12.0,Praja raw monthly
A,2011,2183.0,12.0,Praja raw monthly
B,2011,1594.0,12.0,Praja raw monthly
C,2011,2187.0,12.0,Praja raw monthly
D,2011,4799.0,12.0,Praja raw monthly
E,2011,5084.0,12.0,Praja raw monthly
F/N,2011,3141.0,12.0,Praja raw monthly
F/S,2011,5180.0,12.0,Praja raw monthly
G/N,2011,4543.0,12.0,Praja raw monthly
G/S,2011,5353.0,12.0,Praja raw monthly
H/E,2011,4324.0,12.0,Praja raw monthly
H/W,2011,2849.0,12.0,Praja raw monthly
K/E,2011,6919.0,12.0,Praja raw monthly
K/W,2011,3475.0,12.0,Praja raw monthly
L,2011,10603.0,12.0,Praja raw monthly
M/E,2011,5186.0,12.0,Praja raw monthly
M/W,2011,4004.0,12.0,Praja raw monthly
N,2011,6567.0,12.0,Praja raw monthly
P/N,2011,3132.0,12.0,Praja raw monthly
P/S,2011,823.0,12.0,Praja raw monthly
R/C,2011,1835.0,12.0,Praja raw monthly
R/N,2011,768.0,12.0,Praja raw monthly
R/S,2011,1526.0,12.0,Praja raw monthly
S,2011,3721.0,12.0,Praja raw monthly
T,2011,1727.0,12.0,Praja raw monthly
A,2012,1362.0,12.0,Praja raw monthly
B,2012,1143.0,12.0,Praja raw monthly
C,2012,2068.0,12.0,Praja raw monthly
D,2012,4886.0,12.0,Praja raw monthly
E,2012,2584.0,12.0,Praja raw monthly
F/N,2012,1743.0,12.0,Praja raw monthly
F/S,2012,4423.0,12.0,Praja raw monthly
G/N,2012,3624.0,12.0,Praja raw monthly
G/S,2012,4089.0,12.0,Praja raw monthly
H/E,2012,3740.0,12.0,Praja raw monthly
H/W,2012,1808.0,12.0,Praja raw monthly
K/E,2012,6830.0,12.0,Praja raw monthly
K/W,2012,2839.0,12.0,Praja raw monthly
L,2012,11755.0,12.0,Praja raw monthly
M/E,2012,2719.0,12.0,Praja raw monthly
M/W,2012,2812.0,12.0,Praja raw monthly
N,2012,5756.0,12.0,Praja raw monthly
P/N,2012,3001.0,12.0,Praja raw monthly
P/S,2012,920.0,12.0,Praja raw monthly
R/C,2012,2446.0,12.0,Praja raw monthly
R/N,2012,548.0,12.0,Praja raw monthly
R/S,2012,1855.0,12.0,Praja raw monthly
S,2012,3954.0,12.0,Praja raw monthly
T,2012,2893.0,12.0,Praja raw monthly
A,2013,1576.0,12.0,Praja raw monthly
B,2013,1343.0,12.0,Praja raw monthly
C,2013,2333.0,12.0,Praja raw monthly
D,2013,4685.0,12.0,Praja raw monthly
E,2013,2336.0,12.0,Praja raw monthly
F/N,2013,1606.0,12.0,Praja raw monthly
F/S,2013,3941.0,12.0,Praja raw monthly
G/N,2013,2768.0,12.0,Praja raw monthly
G/S,2013,4330.0,12.0,Praja raw monthly
H/E,2013,5665.0,12.0,Praja raw monthly
H/W,2013,1987.0,12.0,Praja raw monthly
K/E,2013,5588.0,12.0,Praja raw monthly
K/W,2013,3822.0,12.0,Praja raw monthly
L,2013,9894.0,12.0,Praja raw monthly
M/E,2013,3064.0,12.0,Praja raw monthly
M/W,2013,2291.0,12.0,Praja raw monthly
N,2013,6592.0,12.0,Praja raw monthly
P/N,2013,3279.0,12.0,Praja raw monthly
P/S,2013,1052.0,12.0,Praja raw monthly
R/C,2013,3114.0,12.0,Praja raw monthly
R/N,2013,812.0,12.0,Praja raw monthly
R/S,2013,1366.0,12.0,Praja raw monthly
S,2013,3626.0,12.0,Praja raw monthly
T,2013,2979.0,12.0,Praja raw monthly
A,2014,1858.0,12.0,Praja raw monthly
B,2014,1901.0,12.0,Praja raw monthly
C,2014,2924.0,12.0,Praja raw monthly
D,2014,5048.0,12.0,Praja raw monthly
E,2014,2586.0,12.0,Praja raw monthly
F/N,2014,1596.0,12.0,Praja raw monthly
F/S,2014,3682.0,12.0,Praja raw monthly
G/N,2014,2837.0,12.0,Praja raw monthly
G/S,2014,4792.0,12.0,Praja raw monthly
H/E,2014,6938.0,12.0,Praja raw monthly
H/W,2014,1963.0,12.0,Praja raw monthly
K/E,2014,9928.0,12.0,Praja raw monthly
K/W,2014,3048.0,12.0,Praja raw monthly
L,2014,9832.0,12.0,Praja raw monthly
M/E,2014,4462.0,12.0,Praja raw monthly
M/W,2014,1931.0,12.0,Praja raw monthly
N,2014,8211.0,12.0,Praja raw monthly
P/N,2014,3016.0,12.0,Praja raw monthly
P/S,2014,1046.0,12.0,Praja raw monthly
R/C,2014,3849.0,12.0,Praja raw monthly
R/N,2014,746.0,12.0,Praja raw monthly
R/S,2014,1244.0,12.0,Praja raw monthly
S,2014,3750.0,12.0,Praja raw monthly
T,2014,2049.0,12.0,Praja raw monthly
A,2015,1442.0,12.0,Praja raw monthly
B,2015,1610.0,12.0,Praja raw monthly
C,2015,2842.0,12.0,Praja raw monthly
D,2015,6262.0,12.0,Praja raw monthly
E,2015,3245.0,12.0,Praja raw monthly
F/N,2015,1704.0,12.0,Praja raw monthly
F/S,2015,4016.0,12.0,Praja raw monthly
G/N,2015,3258.0,12.0,Praja raw monthly
G/S,2015,5215.0,12.0,Praja raw monthly
