ward,date,cases,reporting_dispensaries,source,year,month
A,2008-01-01,97.0,5,Praja raw (monthly BMC dispensary records),2008,1
B,2008-01-01,42.0,4,Praja raw (monthly BMC dispensary records),2008,1
C,2008-01-01,148.0,5,Praja raw (monthly BMC dispensary records),2008,1
D,2008-01-01,38.0,5,Praja raw (monthly BMC dispensary records),2008,1
E,2008-01-01,307.0,11,Praja raw (monthly BMC dispensary records),2008,1
F/N,2008-01-01,170.0,6,Praja raw (monthly BMC dispensary records),2008,1
F/S,2008-01-01,356.0,9,Praja raw (monthly BMC dispensary records),2008,1
G/N,2008-01-01,256.0,9,Praja raw (monthly BMC dispensary records),2008,1
G/S,2008-01-01,591.0,13,Praja raw (monthly BMC dispensary records),2008,1
H/E,2008-01-01,295.0,2,Praja raw (monthly BMC dispensary records),2008,1
H/W,2008-01-01,274.0,4,Praja raw (monthly BMC dispensary records),2008,1
K/E,2008-01-01,337.0,10,Praja raw (monthly BMC dispensary records),2008,1
K/W,2008-01-01,273.0,5,Praja raw (monthly BMC dispensary records),2008,1
L,2008-01-01,294.0,9,Praja raw (monthly BMC dispensary records),2008,1
M/E,2008-01-01,105.0,5,Praja raw (monthly BMC dispensary records),2008,1
M/W,2008-01-01,292.0,6,Praja raw (monthly BMC dispensary records),2008,1
N,2008-01-01,236.0,6,Praja raw (monthly BMC dispensary records),2008,1
P/N,2008-01-01,93.0,8,Praja raw (monthly BMC dispensary records),2008,1
P/S,2008-01-01,31.0,2,Praja raw (monthly BMC dispensary records),2008,1
R/C,2008-01-01,195.0,6,Praja raw (monthly BMC dispensary records),2008,1
R/N,2008-01-01,82.0,1,Praja raw (monthly BMC dispensary records),2008,1
R/S,2008-01-01,295.0,5,Praja raw (monthly BMC dispensary records),2008,1
S,2008-01-01,191.0,6,Praja raw (monthly BMC dispensary records),2008,1
T,2008-01-01,69.0,3,Praja raw (monthly BMC dispensary records),2008,1
A,2008-02-01,80.0,5,Praja raw (monthly BMC dispensary records),2008,2
B,2008-02-01,40.0,3,Praja raw (monthly BMC dispensary records),2008,2
C,2008-02-01,73.0,5,Praja raw (monthly BMC dispensary records),2008,2
D,2008-02-01,40.0,5,Praja raw (monthly BMC dispensary records),2008,2
E,2008-02-01,293.0,12,Praja raw (monthly BMC dispensary records),2008,2
F/N,2008-02-01,185.0,6,Praja raw (monthly BMC dispensary records),2008,2
F/S,2008-02-01,307.0,9,Praja raw (monthly BMC dispensary records),2008,2
G/N,2008-02-01,238.0,9,Praja raw (monthly BMC dispensary records),2008,2
G/S,2008-02-01,551.0,12,Praja raw (monthly BMC dispensary records),2008,2
H/E,2008-02-01,276.0,2,Praja raw (monthly BMC dispensary records),2008,2
H/W,2008-02-01,283.0,4,Praja raw (monthly BMC dispensary records),2008,2
K/E,2008-02-01,314.0,10,Praja raw (monthly BMC dispensary records),2008,2
K/W,2008-02-01,259.0,5,Praja raw (monthly BMC dispensary records),2008,2
L,2008-02-01,318.0,9,Praja raw (monthly BMC dispensary records),2008,2
M/E,2008-02-01,104.0,5,Praja raw (monthly BMC dispensary records),2008,2
M/W,2008-02-01,225.0,6,Praja raw (monthly BMC dispensary records),2008,2
N,2008-02-01,225.0,6,Praja raw (monthly BMC dispensary records),2008,2
P/N,2008-02-01,94.0,8,Praja raw (monthly BMC dispensary records),2008,2
P/S,2008-02-01,32.0,2,Praja raw (monthly BMC dispensary records),2008,2
R/C,2008-02-01,169.0,6,Praja raw (monthly BMC dispensary records),2008,2
R/N,2008-02-01,84.0,1,Praja raw (monthly BMC dispensary records),2008,2
R/S,2008-02-01,242.0,5,Praja raw (monthly BMC dispensary records),2008,2
S,2008-02-01,181.0,6,Praja raw (monthly BMC dispensary records),2008,2
T,2008-02-01,66.0,3,Praja raw (monthly BMC dispensary records),2008,2
A,2008-03-01,97.0,5,Praja raw (monthly BMC dispensary records),2008,3
B,2008-03-01,28.0,3,Praja raw (monthly BMC dispensary records),2008,3
C,2008-03-01,49.0,5,Praja raw (monthly BMC dispensary records),2008,3
D,2008-03-01,32.0,5,Praja raw (monthly BMC dispensary records),2008,3
E,2008-03-01,263.0,11,Praja raw (monthly BMC dispensary records),2008,3
F/N,2008-03-01,219.0,6,Praja raw (monthly BMC dispensary records),2008,3
F/S,2008-03-01,316.0,9,Praja raw (monthly BMC dispensary records),2008,3
G/N,2008-03-01,252.0,9,Praja raw (monthly BMC dispensary records),2008,3
G/S,2008-03-01,546.0,12,Praja raw (monthly BMC dispensary records),2008,3
H/E,2008-03-01,353.0,2,Praja raw (monthly BMC dispensary records),2008,3
H/W,2008-03-01,287.0,4,Praja raw (monthly BMC dispensary records),2008,3
K/E,2008-03-01,370.0,10,Praja raw (monthly BMC dispensary records),2008,3
K/W,2008-03-01,269.0,5,Praja raw (monthly BMC dispensary records),2008,3
L,2008-03-01,323.0,9,Praja raw (monthly BMC dispensary records),2008,3
M/E,2008-03-01,94.0,5,Praja raw (monthly BMC dispensary records),2008,3
M/W,2008-03-01,197.0,6,Praja raw (monthly BMC dispensary records),2008,3
N,2008-03-01,212.0,6,Praja raw (monthly BMC dispensary records),2008,3
P/N,2008-03-01,126.0,9,Praja raw (monthly BMC dispensary records),2008,3
P/S,2008-03-01,34.0,2,Praja raw (monthly BMC dispensary records),2008,3
R/C,2008-03-01,177.0,6,Praja raw (monthly BMC dispensary records),2008,3
R/N,2008-03-01,80.0,1,Praja raw (monthly BMC dispensary records),2008,3
R/S,2008-03-01,280.0,5,Praja raw (monthly BMC dispensary records),2008,3
S,2008-03-01,261.0,6,Praja raw (monthly BMC dispensary records),2008,3
T,2008-03-01,57.0,3,Praja raw (monthly BMC dispensary records),2008,3
A,2008-04-01,82.0,4,Praja raw (monthly BMC dispensary records),2008,4
B,2008-04-01,43.0,4,Praja raw (monthly BMC dispensary records),2008,4
C,2008-04-01,73.0,5,Praja raw (monthly BMC dispensary records),2008,4
D,2008-04-01,39.0,5,Praja raw (monthly BMC dispensary records),2008,4
E,2008-04-01,331.0,12,Praja raw (monthly BMC dispensary records),2008,4
F/N,2008-04-01,257.0,6,Praja raw (monthly BMC dispensary records),2008,4
F/S,2008-04-01,226.0,9,Praja raw (monthly BMC dispensary records),2008,4
G/N,2008-04-01,225.0,9,Praja raw (monthly BMC dispensary records),2008,4
G/S,2008-04-01,560.0,13,Praja raw (monthly BMC dispensary records),2008,4
H/E,2008-04-01,302.0,2,Praja raw (monthly BMC dispensary records),2008,4
H/W,2008-04-01,325.0,4,Praja raw (monthly BMC dispensary records),2008,4
K/E,2008-04-01,395.0,10,Praja raw (monthly BMC dispensary records),2008,4
K/W,2008-04-01,256.0,5,Praja raw (monthly BMC dispensary records),2008,4
L,2008-04-01,336.0,10,Praja raw (monthly BMC dispensary records),2008,4
M/E,2008-04-01,103.0,5,Praja raw (monthly BMC dispensary records),2008,4
M/W,2008-04-01,209.0,6,Praja raw (monthly BMC dispensary records),2008,4
N,2008-04-01,188.0,6,Praja raw (monthly BMC dispensary records),2008,4
P/N,2008-04-01,106.0,8,Praja raw (monthly BMC dispensary records),2008,4
P/S,2008-04-01,55.0,2,Praja raw (monthly BMC dispensary records),2008,4
R/C,2008-04-01,163.0,6,Praja raw (monthly BMC dispensary records),2008,4
R/N,2008-04-01,77.0,1,Praja raw (monthly BMC dispensary records),2008,4
R/S,2008-04-01,242.0,5,Praja raw (monthly BMC dispensary records),2008,4
S,2008-04-01,187.0,6,Praja raw (monthly BMC dispensary records),2008,4
T,2008-04-01,48.0,3,Praja raw (monthly BMC dispensary records),2008,4
A,2008-05-01,84.0,4,Praja raw (monthly BMC dispensary records),2008,5
B,2008-05-01,48.0,4,Praja raw (monthly BMC dispensary records),2008,5
C,2008-05-01,27.0,4,Praja raw (monthly BMC dispensary records),2008,5
D,2008-05-01,41.0,5,Praja raw (monthly BMC dispensary records),2008,5
E,2008-05-01,276.0,10,Praja raw (monthly BMC dispensary records),2008,5
F/N,2008-05-01,181.0,6,Praja raw (monthly BMC dispensary records),2008,5
F/S,2008-05-01,200.0,9,Praja raw (monthly BMC dispensary records),2008,5
G/N,2008-05-01,273.0,9,Praja raw (monthly BMC dispensary records),2008,5
G/S,2008-05-01,583.0,13,Praja raw (monthly BMC dispensary records),2008,5
H/E,2008-05-01,246.0,2,Praja raw (monthly BMC dispensary records),2008,5
H/W,2008-05-01,307.0,4,Praja raw (monthly BMC dispensary records),2008,5
K/E,2008-05-01,303.0,9,Praja raw (monthly BMC dispensary records),2008,5
K/W,2008-05-01,229.0,5,Praja raw (monthly BMC dispensary records),2008,5
L,2008-05-01,340.0,9,Praja raw (monthly BMC dispensary records),2008,5
M/E,2008-05-01,99.0,5,Praja raw (monthly BMC dispensary records),2008,5
M/W,2008-05-01,237.0,6,Praja raw (monthly BMC dispensary records),2008,5
N,2008-05-01,413.0,6,Praja raw (monthly BMC dispensary records),2008,5
P/N,2008-05-01,104.0,8,Praja raw (monthly BMC dispensary records),2008,5
P/S,2008-05-01,83.0,2,Praja raw (monthly BMC dispensary records),2008,5
R/C,2008-05-01,155.0,6,Praja raw (monthly BMC dispensary records),2008,5
R/N,2008-05-01,79.0,1,Praja raw (monthly BMC dispensary records),2008,5
R/S,2008-05-01,269.0,5,Praja raw (monthly BMC dispensary records),2008,5
S,2008-05-01,149.0,6,Praja raw (monthly BMC dispensary records),2008,5
T,2008-05-01,45.0,3,Praja raw (monthly BMC dispensary records),2008,5
A,2008-06-01,88.0,5,Praja raw (monthly BMC dispensary records),2008,6
B,2008-06-01,102.0,5,Praja raw (monthly BMC dispensary records),2008,6
C,2008-06-01,117.0,5,Praja raw (monthly BMC dispensary records),2008,6
D,2008-06-01,125.0,4,Praja raw (monthly BMC dispensary records),2008,6
E,2008-06-01,501.0,12,Praja raw (monthly BMC dispensary records),2008,6
F/N,2008-06-01,360.0,6,Praja raw (monthly BMC dispensary records),2008,6
F/S,2008-06-01,452.0,9,Praja raw (monthly BMC dispensary records),2008,6
G/N,2008-06-01,242.0,9,Praja raw (monthly BMC dispensary records),2008,6
G/S,2008-06-01,597.0,13,Praja raw (monthly BMC dispensary records),2008,6
H/E,2008-06-01,238.0,6,Praja raw (monthly BMC dispensary records),2008,6
H/W,2008-06-01,212.0,5,Praja raw (monthly BMC dispensary records),2008,6
